difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1346871.38,1444.7126243439473,30641.08,4591.061727899959,nan,nan,31867.82,3852.809161680154,35403.52,4745.149571802296,2308930.36,1420.016739769109
2,1347409.88,1646.9966189574109,31949.24,5655.949569529525,nan,nan,33046.08,3725.2277061754417,35898.74,3749.7584292803695,2309768.68,2008.2901798621165
3,1347631.74,1637.1741932927216,32930.32,5375.022602477394,nan,nan,33075.32,4159.707188674487,36361.82,3343.3989896022686,2309591.28,1455.6440055935407
4,1347141.14,1543.7055605104947,33801.7,5174.098802532412,nan,nan,33734.94,4175.468339416477,36650.42,3497.868576019122,2309798.82,1933.5038268830576
5,1347462.68,1828.4066492719942,35110.96,4833.778962632842,nan,nan,33653.62,3433.4618983986265,36832.28,3763.524569510092,2309928.14,1928.7750052342358
6,1347259.44,1597.8346848156727,34557.38,5484.107885666788,nan,nan,33883.14,3324.4382125375096,35979.4,3204.152223192237,2309560.62,1611.1599052881634
7,1347248.18,1590.836574810594,34671.26,5082.048959317291,nan,nan,34215.86,3680.934758221845,36143.18,3501.3109713304793,2310056.78,1297.6482855771144
8,1347316.4,1614.8754674928355,34968.44,5465.785744286815,nan,nan,33284.76,3037.6236587577628,36659.04,3565.371446201329,2310046.96,1962.9926856923416
9,1347375.12,1709.739431633263,33278.76,5640.119308913199,nan,nan,33495.96,2732.483739406778,35654.4,3587.320055929422,2309923.92,1541.3191784299313
10,1346910.56,1483.118930373641,33770.64,5962.65207656144,nan,nan,32925.12,3518.459836058838,34694.64,3542.2430329509853,2310052.54,1821.2567337429618
11,2233489.76,263698.8064109382,1242526.48,360624.15435980447,13738246144,0.0,33180.4,3298.822548134657,31628.66,4781.895357342257,208797.4,625643.408570468
12,2309960.74,1797.6265169065887,1347495.1,1663.8966590016144,13738246144,0.0,33686.34,3366.5430437934824,32202.58,4935.93278031992,26349.42,3362.8104505193937
13,2310294.82,1621.2390158550381,1347495.82,1860.831498255003,13738246144,0.0,33491.78,2827.763061185304,nan,nan,25360.78,3880.582468850652
14,2310469.82,1826.2474594822318,1347552.26,2027.5423125004302,13738246144,0.0,nan,nan,nan,nan,nan,nan
15,2310213.88,1277.669380759597,1347213.72,1568.2042901070652,13738246144,0.0,nan,nan,nan,nan,nan,nan
16,2310053.92,1588.33803321431,1347446.84,1556.4021876738411,13738246144,0.0,nan,nan,nan,nan,nan,nan
17,2310350.52,1787.1378010662747,1347576.94,1948.2867136988616,13733506580.48,3855567.040985219,nan,nan,nan,nan,nan,nan
