difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,4060730.7,1895.0314654648985,2145789.98,1599.5715177534773,13734051840,0.0,42536.3,4499.247915610169,32961.44,3814.2751426284744,24392.22,3633.673697850287
2,4061119.8,2086.0978414450346,2145803.54,1512.8559046265,13734051840,0.0,41352.68,4906.40935852986,33738.94,4252.536949460947,25448.6,3586.6846325069096
3,4061187.2,1993.6421495364116,2145363.14,1612.9771815383085,13734051840,0.0,44348.92,4439.089770827955,33236.14,3982.8075730159835,24864.94,3531.288505139535
4,4061031.52,1856.8057082978141,2145838.7,1929.5994112134006,13734051840,0.0,41655.5,4354.189360810566,32650.54,4358.533708737846,25914.66,3638.2618837986415
5,4060709.28,1754.9885055731497,2145648.84,1861.6337827898617,13734051840,0.0,42368.1,4450.2341064308985,33453.48,4268.2091318806515,27661.12,3771.5916990694786
6,4060960.56,2172.781262505243,2145299.62,1274.9448469863873,13734051840,0.0,41901.26,4641.430434902673,33731.16,4023.849869191931,27320.46,3600.8353351149294
7,4060651.64,1882.2959033465227,2145642.64,1635.4805667086457,13738204200.96,296582.0800757861,41930.74,5003.714758057257,32502.22,3525.1059749014235,27551.66,3946.969158113861
8,4060667.8,1773.9882543384024,2145697.84,1775.5674960589993,13738246144,0.0,42095.24,4900.220917802105,33061.22,3597.8357059402774,27246.52,4024.774047352832
9,4060800.98,1747.329840362262,2145164.06,1350.946326068644,13738246144,0.0,42685.34,4654.905214449614,33205.84,4240.515074413312,27443,3285.752335183415
10,4060969.44,1770.4950438812766,2145705.72,1671.511634566088,13738246144,0.0,40932.12,4556.340886173949,33107.42,4225.447582088742,27361.56,3808.8375759541127
11,4061201.96,1447.002122052518,2145578.78,1856.1631843506582,13738204200.96,296582.0800757861,41423.86,4560.131662125378,34210.76,4646.133558483366,26218.88,3305.726266430938
12,4060358.92,1881.7543143545165,2145836.24,1794.9377632323499,13738162257.92,593164.1601515722,40386.58,4054.436119680692,32488,3967.3820906312044,27426.74,3380.494027475262
13,4060618.66,1618.040079345177,2145627.18,1726.7033316439174,13738246144,0.0,40903.26,4104.196646689079,33338.96,4562.978493600559,27291.08,4159.684416208635
14,4061028.26,1601.5451316061713,2145545.78,1771.9124948449783,13738246144,0.0,40480.22,4592.668653275077,33603.96,4194.682260156717,61436.52,3786.2278855917602
15,4061253.78,1981.8517859902272,2146166.7,1927.7919403571855,13738246144,0.0,40758.76,4022.910087719778,33889.76,4307.925631594276,61681.3,3415.747363465338
16,4060385.26,1673.252909266064,2145627.54,1786.2705900328558,13738246144,0.0,41309.96,4600.461440742124,33008.26,3824.23835719651,60535.92,3901.2207134041873
17,4060650.94,1850.6605264287755,2145547.22,1922.185026771059,13738246144,0.0,41218.72,4118.056664922206,32636.86,4036.5010055436755,60408.34,3231.9953690737684
18,4060450.48,1436.26039706011,2145941.7,1707.8116830897836,13734051840,0.0,42063.16,4609.919142944895,32601,3742.6734306058906,61800.72,4037.2417895066396
19,4060759.64,1897.057288948075,2145808.32,1691.2884768237307,13738246144,0.0,42041.8,4303.29341366373,32716.18,3738.7236864568463,61064.8,3886.533390557499
