difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,2976154.48,1468.0219405578323,1711458.28,1549.9365627571435,13734051840,0.0,35064.68,4637.87871302546,30703.74,5192.646754669097,23702.42,3819.664559959715
2,2976466.72,2102.540659802433,1712108.78,1745.2136912605474,13734051840,0.0,35849.42,4054.849276697556,33467.5,3454.852973923575,23316.88,3399.874731425815
3,2976717.44,1832.9553270662132,1712267.5,1826.3465286897617,13734051840,0.0,36280.52,4245.170827744709,34841.38,2834.9870812072927,22512.46,2801.550337631954
4,2976221.92,1621.51905147171,1711576.46,1644.6226936564497,13734051840,0.0,36390.62,4149.602291688166,35431.46,3007.781514875123,23605.08,3282.87101725279
5,2976692.56,1998.5067809415577,1711752.44,1586.0950400018176,13734051840,0.0,36253.08,3084.8757646403374,35757.64,2598.8298525392115,24662.86,3857.5052317078016
6,2976259.04,1501.3191880775373,1711847.34,1864.4801497950016,13734051840,0.0,35692.54,3204.405247181334,36299.8,3621.340804797278,25073.16,3557.6404549266376
7,2976410.22,1748.4461940446974,1712028.32,1706.6565648085386,13734051840,0.0,36533.1,3148.4714934231115,37097.82,2370.6927919655786,25402.06,3818.400602293038
8,2976565.98,1437.6663416091783,1711680.74,1515.2808294982478,13740301352.96,296582.0800757861,36660.44,3138.457128811505,36560.28,3556.5262118407345,25795.7,3434.866698242288
9,2976104.98,1869.783546241628,1711877.52,1621.658073625603,13734051840,0.0,37760.72,3593.265373229339,37212.04,3397.3972508377647,24078.46,3247.5715335792506
10,2976435,1677.320895879826,1711581.2,1508.917763274901,13740091637.76,688412.6310464297,37583.98,3146.280158588318,37037.64,3531.108294306824,25164,3273.91384076226
11,2976637.14,1768.0629780315276,1711993.74,1616.5280988234365,13734051840,0.0,38372.68,3500.075628570658,37114.76,3308.624521903139,24996.36,2936.36223478602
12,2976805.38,1994.6268935542296,1711479.28,1761.298558983556,13734051840,0.0,37611.6,2775.4642854845024,37143.14,3261.566188261119,25574.58,3054.358398774326
13,2976917.96,1828.6538816231764,1711588.48,1959.533151814795,13734051840,0.0,38175.42,3435.3310632132025,37700.32,2812.216697314249,24928.9,3305.70248948383
14,2976536.44,2050.6024715498934,1711361.24,1306.5355429141448,13738162257.92,593164.1601515722,38329.76,3144.484095513726,37527.12,2904.9510912318265,26234.18,3035.785852534559
15,2976568.7,1619.8756723519095,1711823.26,1712.5725703080232,13738246144,0.0,37913.7,3345.0861814345667,38034.5,2693.9099969057193,58284.92,3662.265284475928
16,2976809.66,2087.534945179826,1711289.3,1393.707143570993,13738246144,0.0,37889.38,3555.1963227745086,37317.2,3242.154045868712,58403.18,3646.80127486642
17,2976515.26,1387.1407504765525,1711740.64,1548.0539826056533,13738246144,0.0,38240.36,3344.2227537858143,38016.02,2461.817053250194,58797,3750.680047181648
18,2976247.8,1647.7635802282227,1711637.24,1438.777053824617,13734051840,0.0,38518.72,2992.884439289091,37670.78,2762.379322620414,58324.74,3754.210984307339
