difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,2040120.06,1469.20363559894,1165628.06,1491.7593011786657,13734051840,0.0,23138.52,3523.42903618921,18999.42,3073.3017483362305,18463.42,2827.9774491061735
2,2039146.76,1261.700287189425,1165580.24,1221.186134001509,13734051840,0.0,23864.3,3553.3032533410487,22316.02,4008.311118164357,18419.18,2471.462862602732
3,2039970.04,1715.5025319546623,1165431.1,1354.8503532094742,13734051840,0.0,25463.88,3024.0561667389443,24217.54,3318.451613420368,18693.54,2581.2264543374395
4,2039269.98,1582.939173867166,1165911.32,1440.458748355636,13734051840,0.0,26282.2,3687.7896095197234,25741.8,4234.009659403055,19672.2,3031.6383797059507
5,2039936.38,1370.0640367873173,1166331.44,1559.8964010602808,13734051840,0.0,27864.38,3274.2044111695973,25948.34,4701.41052915755,21091.98,3035.105017784326
6,2039766.12,1670.9671724568893,1166164.3,1699.31055947729,13734051840,0.0,27774.56,4396.614584251044,27076.4,4984.880556569566,22007.64,3369.9838415406234
7,2039862.16,1864.7973174321226,1165621.22,1702.2561534142665,13734051840,0.0,28350.12,3753.9422904461385,27965.56,5421.276640671815,22473.7,3778.8683126684627
8,2039802.26,1424.3790170041234,1166006.78,1700.6820035335404,13734051840,0.0,28020.74,3873.224964406013,27657.88,5615.672124855363,22566.24,3802.3955100296807
9,2040299.56,1960.2195229002245,1166278.9,1755.8763408878758,13738162257.92,593164.1601515722,28886,3681.286360133659,27885.16,5655.4209802342275,22759.64,3227.0871414908383
10,2039315.86,1119.7985243346416,1165588.98,1741.9025077571398,13738246144,0.0,28224.56,4159.651497176078,28515.12,5583.154432207437,21822.96,3006.5957898036954
11,2039884.56,1748.8189852770086,1165929.72,1397.6944724679092,13738246144,0.0,nan,nan,nan,nan,22240.38,3023.646095328605
12,2039828.56,1454.5827953648525,1165558.92,1401.2613827752275,13738246144,0.0,nan,nan,nan,nan,nan,nan
13,2039730.54,1198.622648488417,1165894.14,1340.621315141694,13738246144,0.0,nan,nan,nan,nan,nan,nan
