difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,6317762.56,2001.7911383640035,3224257.4,1517.7428595632075,13736148992,0.0,54142.76,4658.30406014192,38877.88,3404.9407537175343,29678.28,2248.157831266683
2,6317923.4,1650.4335855793056,3224321.22,1749.6215834591555,13736148992,0.0,53944.88,3376.972576321059,39504.44,3872.437107221724,29877.16,2837.0259245073053
3,6318097.46,1742.4730748951888,3224553.7,2028.435500979179,13736148992,0.0,53733,3314.1013372359917,40402,3855.6714442123157,30434.46,2785.224266132453
4,6318086.84,1759.6294294480278,3224326.48,1823.5831205489428,13736148992,0.0,54395.5,4887.044945150225,39686.3,3282.9019221737717,30161.56,2461.3291013812277
5,6318021.36,1981.9486675533064,3224300.64,1804.9525943234914,13736148992,0.0,53623.48,3024.3449703352026,39114.96,3697.5358146214303,29745.2,3002.86775857849
6,6317728.7,1739.7600379925727,3224013.66,1698.6663629603847,13736148992,0.0,54005.16,3653.3104605024096,40373.06,4774.905099644625,30204.16,2881.850017766011
7,6318321.58,1474.6146655437599,3223953.9,1585.8988856513533,13736148992,0.0,54639.96,3961.5240365602854,39738.18,4130.934265479697,30556.1,2955.4451113364375
8,6318241.26,1935.470736497128,3224559.18,2311.2274386267623,13736148992,0.0,53664.92,2922.2400119338145,39830.08,3387.671922529376,29737.5,3176.198570168883
9,6317985.18,1872.9459245601647,3224523.04,1800.7729061688585,13736148992,0.0,53357.88,3033.7070247202078,39267.5,3168.6565958539873,30532.96,2777.838588337548
10,6317759.46,1820.4789032402593,3224180.18,1509.1217433747784,13736148992,0.0,54282.68,5065.2142346053815,39615.46,4569.21214666429,30222.38,2683.4638283306863
11,6317765.88,1591.0448067678224,3224674.44,1927.153374534469,13736148992,0.0,54224.72,4810.572141457112,40966.66,4582.1931012054365,31643.84,3491.1204935390247
12,6318176.22,2008.8037895468933,3223798.18,1612.866059572973,13736148992,0.0,54499.14,5300.301019599486,39936.82,3210.12803921639,31754.84,3000.1954518643875
13,6317224.34,1594.3856549576371,3224186.4,1581.8323010267013,13736148992,0.0,54411.98,4550.906689163094,39617.54,4180.076355176068,31200.34,3015.056533872786
14,6318146.38,1805.9940887421058,3223950.08,1824.40820530709,13736148992,0.0,54351.34,4380.833722766776,39722.74,4483.056650436219,31896.76,2526.7134785030494
15,6318081.48,1662.896259235552,3224344.94,1784.5850876610061,13738246144,0.0,53668.52,3626.623578650601,39517.44,3703.180018771511,31298.98,2639.19842879057
16,6318210.74,2100.9819551624823,3224358.84,1796.7127961465446,13738246144,0.0,53992.22,4534.665715870783,39604.6,3908.5188958458,51329.6,2786.4339509963816
17,6318049.48,1821.9295696416737,3224407.46,1781.05663673711,13738665574.4,847377.3716451032,54638.54,5039.647465845205,39761.28,4328.755248524991,69779.26,3711.680205975263
18,6318256.88,1803.629318901198,3224378.62,1910.965264050648,13739168890.88,1537003.340536896,53001.12,3389.433626999758,39877.62,5408.201703799479,68618.46,2963.2242589064076
19,6317818.24,1542.0716990133628,3224352.74,1829.188599084416,13741601587.2,2935401.3217469873,55216.38,5510.401447985363,39424.7,3575.904071500161,68942.34,3343.877833245926
20,6318201.84,1794.7295897733907,3224398.96,1990.6578951467789,13745712005.12,1051567.6637113236,54619.96,4511.186874734354,39714.38,4160.0967016331215,69571.78,3359.9019682613557
21,6318037.32,2058.1525145288006,3223951.22,1768.0247861638693,13745795891.2,1271066.0574676548,54665.78,4762.584447973772,39902.84,4102.2163813216475,68834.18,2538.9542816856306
22,6318097.56,1833.7248604066722,3224233.1,1778.8949820444311,13746005606.4,1288598.8313163556,53737.76,3269.9682864342453,41151.66,5068.862419614444,69224.34,2311.118826235378
23,6317810.58,1902.0977044155375,3224384.12,1638.7204520600822,13745586176,1059221.714556379,54336.6,4781.677529905169,39662.32,4633.479965359487,69158.7,2763.684011663875
