difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,639341.3783783783,479082.51460000494,625558.2105263158,461008.4261311874,9588.57142857143,3098.478162039378,8717.153846153846,2084.0166684455703,7271.857142857143,1572.8211721490907
2,576936.1388888889,457891.1569408578,562341.1951219512,473977.27101319004,10517.196721311475,2560.7081040190956,8983.9375,1477.2595364062558,7127.916666666667,1724.4692178561302
3,599579.0555555555,532194.0720239426,611357.2702702703,468648.36361881346,11449.540816326531,2510.722014560618,9063.62,1298.2047083946195,7128.733333333334,1639.6343872368388
4,630120.7714285714,465452.7125499043,579738.1315789474,489662.611790971,11916.152,2336.8089078636635,9175.746268656716,1220.6963157358252,7049.133333333333,1575.2338087982216
5,575777.3,479186.0295150196,594180.7567567568,492907.3779176303,11863.972413793104,2305.871198776035,9390.185185185184,1151.2672703494084,7145.307692307692,1649.4034469374772
6,600083.2941176471,467959.67863730714,635509.3555555556,457800.01464221923,12593.466257668711,2278.1204302762576,9240.697674418605,1074.25479582242,7285.666666666667,1688.0907502123164
7,623065.8378378379,479600.92047969735,597880.9459459459,453870.0156481385,12136.288235294118,2253.855708665059,9933.735849056604,1252.1580708207941,6996.071428571428,1613.5367490885792
8,578403.052631579,466502.5064964932,621553.6285714286,472590.23910709284,12487.25,2173.573721607351,9549.185185185184,1128.6993436591522,7032.923076923077,1600.9376659496804
9,583020.8108108108,480295.2744133225,590735.6923076923,477952.5520470875,12765.888888888889,2289.6957565673247,9556.881818181819,1224.1121458175098,7700.928571428572,1678.9988988077992
10,664589.9038461539,423105.3429291881,560160.5116279069,481771.87085187214,12841.952380952382,2442.732436941698,9798.745762711864,1284.0432015154165,7104.785714285715,1626.9492535498375
11,620245.282051282,537994.3340521421,580455.358974359,477678.73700573493,13143.93119266055,2557.5204293213,10075.84,1408.2248743628247,6999.133333333333,1607.510091799767
12,597230.9459459459,482488.6865313784,596088.4054054054,479757.9170883107,13045.370731707317,2395.430840350828,9875.446280991735,1432.8734821470528,6856.692307692308,1614.1206782959457
13,617255.3658536585,518554.9659814163,635706.25,470945.8970917752,12917.09633027523,2473.3592606316556,9907.02479338843,1503.189921815215,7326.6875,1798.0926827706444
14,596598.6170212766,478327.2143467479,624582.880952381,451071.98844915355,12822.206572769954,2501.98334243169,9560.074766355141,1169.0584802336934,7538.4375,2027.1915209224805
15,674454.1836734693,448734.792241228,656872.0,425927.8799082427,12725.028436018958,2390.9588710383678,10233.025210084033,1361.7123720172438,18105.871264367815,4921.041242894082
16,641838.380952381,463023.11911899236,662573.9555555555,483369.40461109957,12734.432038834952,2403.59672822712,9772.243478260869,1396.170995605571,18102.284403669724,4884.862679685927
17,588742.8571428572,478669.5598933733,614356.5476190476,537218.0123238883,12641.72463768116,2402.9506268480945,9833.464285714286,1210.6660658651183,18675.248898678416,5037.066417971932
