difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,2963952.14,1545.6557819665188,1692011.42,1529.246113986515,13734051840,0.0,38192.18,5380.455256096564,32475.18,4754.5301048536,22088.76,3156.3107278296043
2,2963725.3,1248.7990189761995,1691846.1,1357.7738420379326,13734051840,0.0,40385.92,5079.9027503145235,32581.76,4244.601221912516,21622.06,3186.0716738033757
3,2963735.64,1471.662044722752,1692131.06,1615.9753788031423,13734051840,0.0,40556.66,4719.513333653229,32184.22,4138.717741335954,22717.3,3983.462386119976
4,2963352.78,1456.2374118226178,1691782.9,1556.620230119192,13734051840,0.0,39857,4587.851687014393,33071.08,4184.185751329959,23297.32,3550.62673651298
5,2964050.76,1728.9564690404252,1692243.38,1948.1740052402602,13734051840,0.0,40255.32,4335.695600995277,34430.86,3779.9669257272394,23719.34,3637.7693468410453
6,2963641.6,1494.627863041363,1692574.52,1956.6117552586477,13734051840,0.0,41419.26,4496.07383740843,33706,3845.7674481572753,25729.58,4232.563651606194
7,2963852.72,1797.5735350403752,1691852.1,1639.5266894156139,13734051840,0.0,40786.04,3955.1156383414454,34119.36,3257.649883844838,24174,3676.21120398795
8,2963665.16,1421.9743009819344,1691872.3,1512.0053213652175,13734051840,0.0,39895.86,3719.2741008351154,34594.84,4220.552441642333,24281.3,3357.275877303879
9,2963828.28,1543.3033090334088,1692086.76,1517.5922600471781,13734051840,0.0,40353.78,3982.623647029374,35420.02,3350.992764808053,24028.72,3351.320367514017
10,2963645.54,1656.5100418577335,1692005.78,1597.3923557997098,13734051840,0.0,41258.66,4015.248977514168,36122.56,3480.3975093165927,24312.22,3342.6482370010954
11,2963338.14,1426.0445653797008,1692213.06,1517.0648407436013,13734051840,0.0,40438.34,3539.8816284256322,36794.92,3335.016885432883,24197.32,3641.7737965593255
12,2963845.5,1493.3769054169322,1692087.9,1494.667886801859,13734051840,0.0,41687.64,4078.8721868593398,35553.66,4076.440787535827,24366.78,3460.1979080476226
13,2964021.36,1816.0625467966545,1692332.36,1508.3704243795212,13738162257.92,593164.1601515722,42241.1,3744.002961199335,35997.6,3773.193834708961,24656.62,3258.989143953714
14,2963636.26,1781.7182008799648,1691913.2,1206.2910773380138,13738162257.92,593164.1601515722,42136.28,3604.927557595326,36323.34,2988.6744356053264,23835.08,3179.2320844082165
15,2963698.28,1606.4612654997381,1692090.64,1676.1944965319751,13734051840,0.0,41606.6,3438.9418460346437,36622.68,3316.7916169400937,24656.58,3421.727962385588
16,2963307.94,1484.015559217625,1692287.02,1760.3903612783254,13734051840,0.0,41561.28,3210.690669164693,35986,3158.2766613119497,23401.56,2846.9214246914767
17,2963674.02,1502.5067284307222,1692270.78,1824.5865764885043,13734051840,0.0,42289.26,3717.1060161235705,35817.26,3345.4733096699915,23839.36,3362.311460521024
18,2963848.06,1476.4091354032055,1692041.1,2030.5170473531703,13738246144,0.0,42194.66,3467.628258505181,36350.42,3324.9578858158457,57209.96,3494.2258840807062
19,2963514.94,1339.8963013484838,1692015.06,1863.4017544178032,13738246144,0.0,41263.52,3650.928292578618,36899.2,3228.384627971464,57683.76,3059.413152744113
