difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,8406689.12,2204.034608787869,4264487.04,1918.4269487137165,13738162257.92,593164.1601515722,15166.74,1782.4944320833554,23089.66,2563.8101000229312,29090.42,3196.317364960967
2,8406804.02,2321.5749095853716,4264775,1863.4042251005146,13738246144,0.0,18917.84,3863.239892069022,25080.54,2563.774212494747,30826.94,2387.936710011471
3,8406303.84,1769.3550578717452,4264666.56,1470.7434349432165,13746592808.96,1234527.3387715667,20143.3,3309.487747833677,27126.28,2286.9488722946553,30993.24,2529.349812073596
4,5057969.62,4142119.1113045905,5922158.92,2049742.5392466388,13748102758.4,977464.930492794,21698.14,2935.9402485856735,29391.94,4148.485577673287,35605.066666666666,3614.4188728626555
5,38013.3,3690.3725559949658,8406612.96,2023.7987715568715,nan,nan,23106.92,3318.369773345499,34461.04,4748.588340007706,nan,nan
6,8406401.32,1885.7775469908145,4264842.3,1828.546096364708,13745082859.52,3221427.4235469745,23405.56,2947.461184664192,32225.76,4661.9512493620705,36458.52,2676.6817123796686
7,706548.5,2293758.4181977115,8075420.84,1135286.6997041574,13746634752,0.0,23274.22,3359.059254175375,33135.58,4668.788000266083,36894.75,1228.2194090091016
8,8238491.9,1182983.2472931193,4347252.3,585542.0812909179,13745607575.510204,2349467.418733819,nan,nan,nan,nan,36373.04081632653,2645.2758044545476
9,4056291.34,4221823.208061449,6418501.34,2090320.6187238907,13746984277.333334,1009869.7302821082,nan,nan,nan,nan,41121.75,3271.184019786161
10,nan,nan,8406603.76,2368.369796346191,nan,nan,nan,nan,nan,nan,nan,nan
11,nan,nan,8406715.78,1916.5297325944014,nan,nan,nan,nan,nan,nan,nan,nan
12,402481.66,1650609.1718762824,8241396.14,819651.6893131114,13747683328,1482910.4003789306,nan,nan,nan,nan,nan,nan
13,nan,nan,8406650.58,2140.7527484985467,nan,nan,nan,nan,nan,nan,nan,nan
14,nan,nan,8406963.54,2209.0588282186177,nan,nan,nan,nan,nan,nan,nan,nan
15,nan,nan,8407314.48,2108.458632677977,nan,nan,nan,nan,nan,nan,nan,nan
16,nan,nan,8406196.26,1916.607640960391,nan,nan,nan,nan,nan,nan,nan,nan
17,235357.26,1179137.662626687,8324689.6,585722.1284272491,13746634752,0.0,nan,nan,nan,nan,nan,nan
18,569398.78,2000323.617150641,8158397.26,993420.4266723479,13747333802.666666,2421582.543463124,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
