difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,6314167.96,1805.9511933197589,3225044.52,1452.6576522683786,13736148992,0.0,54772.96,3305.2049240862634,37744.06,3298.4123664550607,19927.06,2348.389777559709
2,6314728.8,2182.1196772208177,3225194.14,1919.590996083514,13736148992,0.0,55698.3,3904.860985531563,38037.12,2283.1588450733634,21246.08,3269.266146450382
3,6314857.96,1743.1984204505304,3225337.26,1724.7897098676424,13738246144,0.0,55557.24,3348.6929436752494,38844.78,3029.074845559284,21777.22,3698.0803971900928
4,6314782.6,2197.0574941619216,3225049.64,2014.985407958508,13738288087.04,296582.0800757861,55331.76,4330.421686399699,38683.82,3443.290136909577,21173.2,2881.893099463388
5,6314576.82,1642.724015599873,3225136.86,1886.3452300516933,13738371973.12,503102.439386451,55767.3,3555.107531597953,39001.9,3730.1629786027815,20119.26,2477.730568030976
6,6314352.02,2082.939421165411,3225070.32,1880.2695686023972,13736148992,0.0,56399.36,3808.2958252012013,38499.56,2800.815669531624,21194.2,3691.1638505258165
7,6314679.42,2043.1377638428635,3224850.42,1641.1359068943557,13736148992,0.0,55794.76,3352.691167356974,38261.82,2275.1542821872767,20932.76,2528.6130953790557
8,6314681.18,2030.7443260930668,3225091.62,1764.9851232534859,13738246144,0.0,55153.22,3274.9083133450204,38290.68,2974.5476448409045,21273.2,3105.835895897415
9,6314669.06,1996.685185756735,3225179.48,2025.8728855906602,21712902553.6,5265957725.311051,55589.68,3693.667871437522,38524.96,2862.8752990584803,20924.76,3234.6395222935853
10,6314701.24,1743.0221064787072,3225062.3,1786.3886755126948,25139216384,0.0,55420.52,3322.384466073751,38374.76,2906.8159771299524,21476.74,2660.537200703371
11,6314424.14,1664.4709033693757,3224915.76,1748.0429238647057,15103931187.2,3741577066.6883864,54277.04,3269.209727635305,38414.92,2333.2454828554382,22957.92,2655.167082947389
12,6314523.28,1557.3880021971902,3225444.38,1710.251740510258,13738288087.04,296582.0800757861,55105.2,3783.690186652632,38619.26,2770.8955364426047,22950.66,2421.528389093069
13,6314937.54,2413.3855482474814,3224983.9,1702.8018237658803,13738288087.04,296582.0800757861,55867.04,4197.053986027896,37911.04,2432.1426596182005,23150.84,2731.6943860497113
14,6314199.98,1744.531566738458,3225230.16,1797.6738865681339,13738246144,0.0,54811.8,3338.0643174982565,37389.96,1821.44101911713,23089.9,2918.396919823048
15,6314844.54,2156.8748670808186,3225025.06,1910.1217656452786,13738288087.04,296582.0800757861,55033.76,3149.9073362463814,38650.14,3426.8418435662197,22719.78,2365.5304042580783
16,6314586.48,1586.2027335232829,3224466.06,1842.5578318396058,13738246144,0.0,55718.44,3748.2785554144175,38383.34,2254.541218636424,23661.84,2757.6541225454357
17,6315004.76,2021.2951047306683,3225064.2,1597.9660030610087,13738246144,0.0,55280,3432.140362716501,38755.12,3102.661508170963,23351.78,3088.676774270556
18,6314558.08,1814.4193633563464,3225025.02,1941.4612578978667,13738246144,0.0,55169.3,3569.9572755117943,38803.44,2907.2422107276743,61480.42,2732.8322236934237
19,6314143.7,1562.1721827543302,3225349.92,1983.8453264263505,13738246144,0.0,55429.66,3532.663992236003,38579.2,2466.5116406515067,61332.4,2722.478882435293
20,6314386.78,1845.4664615799245,3224669.6,1409.9987407723427,13738246144,0.0,55740.88,3601.894726107245,38011,2239.857311417449,61084.9,3084.6542640256184
21,6314919.48,2204.541400225027,3225218.92,1802.820056670852,13738791403.52,1021256.7333880238,54861.98,3582.0057970645557,38381.58,2417.2705141062197,61475.68,2655.6018529954094
22,6315091.76,2084.332698579415,3225094.96,2126.6860870032187,13738623631.36,813879.3879949354,55191.7,3304.307530346115,37726.42,2187.05829910258,61725.7,2307.97302401736
23,6314763.5,1889.525912357221,3225031.3,1641.184754364719,13747347783.68,2058708.5126079174,55038.72,3059.7075960067205,38062.72,1831.9431307455245,61759.96,2937.581519216244
