difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,6314317.2,2235.225569587726,3225083.96,1609.6383794669725,13736148992,0.0,55897.62,3597.0662926720647,38079.14,2720.6001289481433,19257.66,2734.7617036806637
2,6314130.72,1916.2789200927502,3225176.98,2019.0577767152395,13736148992,0.0,55045.8,3733.8026575750205,39399.32,3451.127709450749,20868.44,2586.8958875573685
3,6314212.14,2046.2567817199028,3225373.54,1904.146540943673,13738288087.04,296582.0800757861,55895.34,3671.506311628312,38041.26,3245.216686013998,20054.74,2688.4608358155947
4,6314509.12,2215.014604825855,3225325,1628.0110314022281,13738246144,423688.6858225516,55833.08,4051.6739540841736,38378.16,2858.681195579385,20676.42,2942.681091058538
5,6314556.42,2117.731179968847,3224912.72,1953.3125714111025,13738246144,0.0,56539.56,3578.753455079701,38362.32,3124.8999098420118,20885.32,3107.3259219634688
6,6314677.98,2286.435640547826,3224653.4,1955.198846821531,13736148992,0.0,55549.58,3896.44775477797,38021.5,2177.9489907071857,21393,3087.6264710113164
7,6314395.46,1706.8558540575746,3225331.9,1951.3888643732698,13736148992,0.0,54254.08,2545.391264098103,38403.26,2474.423617156702,21203.38,2486.41053377132
8,6314410.3,1796.3707545367972,3225075.12,1808.0954535033795,13738246144,0.0,54797.32,3499.9399612343204,38379.5,2577.0996294284005,22069.48,3299.502573765584
9,6314131.64,1732.587928210165,3225242.7,1942.872492061217,13736148992,0.0,55776.64,3494.9318393400254,38766.78,2912.5526099478934,21110.06,3061.3099397720152
10,6314385.44,1952.3171702008935,3224754.4,1640.9796476744107,13738246144,0.0,55623.84,3868.5966572294055,38777.4,2526.4586492009817,21072.5,2649.600734265525
11,6314196.12,1923.2906287009719,3224984.66,1952.8249094424148,13736148992,0.0,54480.48,3236.651029590144,38981.32,3505.889304281804,22760.74,2816.420979736879
12,6314373.24,1748.8468335869036,3225395.98,1806.7498894028313,13738246144,0.0,54400.3,2989.070398458152,38500.26,2145.4541673225353,23091.44,2859.1537506395
13,6314480.56,1774.6979985683336,3225278.9,1993.3508886561149,13738330030.08,415128.43602224987,55023.86,3650.8891620915515,37997.82,2392.4689466775376,22668.14,3071.071168640861
14,6314577.78,2150.863142260496,3225108.28,1658.685600106301,13738246144,0.0,55096.46,3519.142023277833,38794.08,2298.903321861384,22712.32,2520.0884859748194
15,6314594.5,1947.475207460539,3224975.12,1684.3514301974405,13738288087.04,296582.0800757861,55923.12,3926.2159725182137,38044.02,2020.769730997148,23270.1,2813.4897442173706
16,6314493.74,2027.1898394837426,3225079.02,1809.6398050666417,13738246144,0.0,54958.22,3759.7494450279205,38844.32,3115.7721579743543,23139.34,3080.667874911251
17,6314647.2,1861.3835867823852,3225358.6,2066.0746771180784,13738246144,0.0,55303.04,3186.61898082899,38234.54,2655.4135479454503,23761.84,2595.743646032552
18,6314416.5,2089.7935280299625,3224519.94,1781.3681099832527,13738246144,0.0,54556.98,3033.3629178567758,38367.76,2948.1811449898173,61610.26,2991.568340369653
19,6314441.98,1797.0727046266898,3225128.2,2172.806517678301,13738246144,0.0,55137.62,3463.033599287757,38291.84,2414.6059158752164,61059.34,2617.036605843818
20,6314500.66,1747.961221841384,3225322.48,1764.2894301869485,13738246144,0.0,55507.78,3547.7225939570685,38190.12,1950.286631367245,61910.46,3044.4961796926705
21,6314551.36,2072.9728801006186,3224855.54,1741.50097365017,13738749460.48,999043.1871880549,55217.2,3065.234624971219,38009.3,2256.681582613312,61831.44,2667.3656281593107
22,6314544.2,1948.6166102847299,3225032.82,2014.6988501348517,13738413916.16,574719.2954730466,55108.34,3003.802254490404,37694.54,1480.7466568027946,60643.42,2904.4928890339843
23,6314602.7,1868.004492958806,3225373.38,1806.6857681672147,13747725271.04,1707418.0930584117,55197.28,3501.4236931830565,37769.12,1664.847111200746,61563.26,3026.2597768768724
