difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1462787.74,1647.502585052631,972866.44,1522.999312045083,13734051840,0.0,21355.7,2788.139210136761,21560.38,3059.6322100566804,16902.56,3183.0399611512444
2,1463158.3,2060.701497855841,972817.1,1892.9748346160854,13734051840,0.0,25236.46,4112.012249892418,26033.84,4146.260209994012,15054.04,2086.12189715652
3,1463060.76,1679.9630894876282,972638.1,1518.9014054874783,13734051840,0.0,26269.28,4697.462823825696,28026.62,4968.276151129036,16019.92,2470.6165870081904
4,1462727.3,1599.2233350943213,972934.76,1521.9958507814397,13734051840,0.0,27199.36,4642.530536907911,28457.46,4545.171715891356,16793.74,3397.8686945958175
5,1462946.5,1899.0019854692955,972966.04,1672.0870737018502,13734051840,0.0,28235.14,4858.403668334878,28140.28,5135.00669093219,16427.68,3019.0320819489043
6,1462862.4,1585.6567299721976,973157.4,1854.140518198254,13734051840,0.0,28460.76,5098.3136490091965,28889.42,5521.56444515871,16140.32,3073.1383111053874
7,1463501.2,2098.594573440394,972779.52,1676.7853505552625,13734051840,0.0,27261.06,4959.443448902018,29312.7,5530.160927835202,16744.52,2566.4920730086674
8,1462935.02,1987.2242510802932,972789.36,1762.811063996065,13734051840,0.0,28913.02,5047.982342905501,30996.3,5475.360822142507,17166.86,2632.2008872067963
9,1462750.28,1565.1895763120576,973311.9,1858.4269983411416,13734051840,0.0,27428.7,4639.861527006589,31298.02,5446.515292948927,15923.88,2546.7840917117255
10,1463192.54,1944.4904501211224,973483.92,1763.8197283979205,13733506580.48,3855567.040985219,27163.5,4697.369616745795,28720.32,5736.670194103751,16595.2,2111.863419362345
11,1462697.48,1688.0221277203298,973035.42,1467.7254385126473,13736987852.8,6226926.540333748,27402.92,4824.752783515526,28905.3,5587.053198133655,16604.46,2689.449364855648
12,1463087.18,1824.6363315600672,973172.96,1956.0114243646171,13733506580.48,3855567.040985219,28576.06,5055.665681799228,29017.76,5645.5146312296965,18103.78,2510.9643670616
13,1462808.38,1978.4396540956106,972700.9,1699.2826847988367,13734051840,0.0,27526.16,4748.413425083183,29932.62,5530.062463720737,17987.24,2459.889142682189
14,1463324.78,1864.4896034101369,972513.1,1412.2895906134486,13734051840,0.0,nan,nan,nan,nan,23180.92,2757.1595398459017
15,1463015.22,2011.8197396630642,972785.56,1846.7220397896642,13738246144,0.0,nan,nan,nan,nan,nan,nan
16,1463435.74,2266.9557111524105,973103.84,1563.4224540398282,13738246144,0.0,nan,nan,nan,nan,nan,nan
17,1463130.14,1715.8979086942277,973022.04,1761.3545223689034,13738246144,0.0,nan,nan,nan,nan,nan,nan
