difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,6307106.48,2095.3125356473233,3232515.4,2205.863373939963,13732038574.08,415128.43602224987,26902.24,3431.796736286063,26044.94,2374.543319444471,nan,nan
8,6306965.24,2046.8894924459685,3231820.12,1637.0962302011374,13734051840,0.0,26459.38,3460.729761958614,27464.1,3335.3603437183483,nan,nan
9,6306874.08,2249.699543113639,3232954.18,2026.7123744062521,13734051840,0.0,27031.26,4135.91437369424,29154.82,3569.393978689105,nan,nan
10,6306292.68,2117.593767675462,3232934.58,2080.68979035162,13734051840,0.0,27324.86,3953.6438785980095,28513.76,3648.6900560198255,nan,nan
11,6306515.04,1992.6506494145542,3232711.54,1851.6981749249546,13734051840,0.0,26448.38,3353.5959371689246,27717.6,3098.832775647723,nan,nan
12,6307113.62,2384.20156395197,3232855.02,1810.5696418981695,13734051840,0.0,27164.82,3489.9067392369425,29635.68,4434.976434790027,nan,nan
13,6306317.1,2032.9353589008647,3232904.98,2150.765516209121,13734051840,0.0,26303.56,3435.4584232616153,30369.7,4653.97245832602,nan,nan
14,6306814.44,2218.3563060086094,3232472.4,2119.207610867605,13734051840,0.0,25434.56,2675.2432516521194,29054.26,5006.60473900757,nan,nan
15,6306643.22,1893.2471651010771,3233151.18,2055.599576765864,13734051840,0.0,26536.24,3738.403754960403,30931.48,4482.359233206348,nan,nan
16,6306492.02,2058.471807741196,3232580.22,1928.8723817033513,13738246144,0.0,nan,nan,nan,nan,nan,nan
17,6306422.86,2021.3437842894796,3233513.2,2255.6040143136283,13734051840,0.0,nan,nan,nan,nan,nan,nan
18,6307297.32,2469.3638893365196,3232805.82,1948.7286560991606,13738246144,0.0,nan,nan,nan,nan,nan,nan
19,6306544.12,1854.0067216926784,3233381.76,2577.040848155346,13734051840,0.0,nan,nan,nan,nan,nan,nan
