difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1388837.76,1499.2949167348427,874777.62,1716.942012142875,13734051840,0.0,24833.58,3985.04867504137,24896.94,4212.892837178631,19837.5,3272.1242320235824
2,1388945.1,1903.5310823920508,874698.16,1528.7701788011946,13734051840,0.0,30393.34,3059.2595049742854,29123.4,2654.580423436027,19741.84,3681.5549862435428
3,1388245.42,1374.3231223005002,874554.86,1689.427121958258,13734051840,0.0,31364.32,3595.864356026069,30457.68,3524.6482206290707,20246.98,3702.869557353528
4,1389025.62,1427.879216437684,874800.82,1631.036501424659,13734051840,0.0,32644.08,2365.3983212049475,32749.16,1871.657874283478,20885.72,3889.450593592879
5,1389081.54,1755.6982122942034,875156.1,1784.7627093178041,13734051840,0.0,33124.52,2017.4798306151106,33170.98,2746.2338923384823,22003.52,4122.63821931381
6,1388859.58,1896.8248021902502,874698.02,1985.2630267312497,13734051840,0.0,33405.66,1892.502118835252,33623.92,3008.112248502678,20962.32,3809.642280276912
7,1388601.84,1335.522589147203,874387.26,1666.0170248046013,13738078371.84,830256.8720444997,33661.82,1712.6097246540414,34754.76,2620.4830257346193,23778.9,2941.934565858989
8,1389122.34,1885.1129410218803,874828.5,1818.748439932005,13738246144,0.0,34130.8,514.3488056538588,34892.92,2959.238228231815,23508.76,3224.7199249370037
9,1389179.74,2069.278221890869,874456.2,1543.4241286232136,13734051840,0.0,34133.76,636.5040538851617,35759.68,2185.565153082229,21874.36,3222.5891590712063
10,1388836.26,1642.4369749657653,874550.06,1557.398359247805,13738162257.92,593164.1601515722,34333.12,434.7941403581653,35868.24,2572.9370302501875,23159.68,3324.0022682278172
11,1388818.16,1662.2941039910072,874714.5,1667.0580006559521,13738246144,0.0,nan,nan,35671.64,3015.210540318699,31706.1,3898.6706905125016
12,1388737.84,1650.2786945834084,874392.36,1359.8157852429565,13738246144,0.0,nan,nan,nan,nan,nan,nan
