difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,5500218.211320755,2494002.0012339926,2953.0,166.27687752661222,2910.3333333333335,92.37604307034012,2910.3333333333335,92.37604307034012
2,6825813.776397515,1712940.8529076537,8407.666666666666,6028.511281126267,2953.0,166.27687752661222,2953.0,166.27687752661222
3,6833945.437267081,1723020.8494730573,10803.4,5430.914046252046,9729.0,7469.909771878105,7378.555555555556,3358.329648467788
4,6852454.752179327,1687493.1810734705,11076.636363636364,5269.558601490779,11948.555555555555,6751.1078926186465,6491.5,3821.3431539185276
5,6841953.92893401,1676915.8207193962,11467.666666666666,5133.746697249013,12509.0,6636.333391933296,7681.666666666667,3622.8218628577365
6,6816208.86,1666414.133332755,11664.466666666667,4601.245512539694,12060.555555555555,6794.902926295399,8530.083333333334,3350.7969597025
7,6842969.743498818,1610158.213711956,12445.0,4434.238763504363,13010.333333333334,6126.507136776198,8740.083333333334,3548.177905202852
8,6922897.516339869,1598232.387482964,12477.952380952382,4080.3650630328466,13047.666666666666,6070.868581457956,9343.666666666666,3313.7600712066965
9,6933570.459375,1605559.0932243885,12593.0,4045.316897351801,12917.0,6072.927465399204,9464.2,3404.3594153043578
10,6950637.0468127495,1579678.8908143872,9778.333333333334,2716.843863697387,7347.666666666667,2703.811361539092,9471.470588235294,3130.6753887469526
11,6979239.693467337,1537743.184629999,10003.0,2780.49379411831,7470.333333333333,2814.6015811489306,9753.8,3551.9797538033026
12,6992590.460116732,1523236.2319090958,9873.0,2766.91408706837,7523.666666666667,2817.894679409155,9789.0,3551.4011319477836
13,7081207.098901099,1404265.6043462744,9988.0,2769.1968385137925,7501.666666666667,2817.27338633178,9360.083333333334,3901.363758257159
14,7076071.433628319,1394646.2963393452,9865.0,2736.792155854702,7704.333333333333,2875.308215362891,8494.111111111111,4154.121972343989
15,7170590.951159951,1249719.793906408,9977.0,2759.6506395147035,7512.333333333333,2810.5763023826894,24828.94191919192,7715.384809726801
