difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,3788131.3378870673,2279294.599165893,2924.56,112.87633833138831,2924.56,112.87633833138831,2930.32,124.49234711337046
2,5160125.6885,2301935.7921173163,8199.173333333334,3779.892105890064,6329.779816513761,3198.1627056500856,2930.32,124.49234711337046
3,6000671.9695216045,1867474.8825756044,8317.622641509433,5192.478209052252,6887.76,4068.021724364189,2930.32,124.49234711337046
4,6017272.2720597545,1850765.2856552778,8458.921212121211,3708.714105579635,6937.258278145695,2897.766879198707,2930.32,124.49234711337046
5,6010759.054543153,1856067.763826247,8712.718446601943,3339.3497699693944,7228.56,2551.730709630693,2930.32,124.49234711337046
6,6042134.64232507,1827408.3821780987,10309.541501976284,3718.0244086384196,8798.96,2995.6882492587556,2930.32,124.49234711337046
7,6162111.733877811,1720471.6739674762,10564.42904290429,3441.7965450759525,8770.15894039735,2721.0768976564536,2930.32,124.49234711337046
8,6158947.965225663,1720712.2466538064,9435.745762711864,2696.7516442807637,7797.514204545455,2070.0786268074885,2930.32,124.49234711337046
9,6087373.760806583,1784396.5446137749,9413.132394366197,2680.7716428420913,7725.222857142857,2045.6785821255428,2930.32,124.49234711337046
10,6110317.369314324,1768033.8828634962,10810.690807799443,3212.7122448764308,9126.068181818182,2597.3171158844275,2930.32,124.49234711337046
11,6123097.0932993125,1757496.7170636829,9528.588089330025,2554.012921665998,7780.878186968838,2056.104759834694,2930.32,124.49234711337046
12,6174897.044624326,1704471.1778022978,9463.65012406948,2547.929648108476,7814.61475409836,2082.9498462848032,2930.32,124.49234711337046
13,6518142.781554437,1281748.8083901454,10922.433168316831,3073.1144995805753,9134.63829787234,2516.2735488858707,2930.32,124.49234711337046
14,6396435.725067577,1455183.2490605528,10855.751243781095,3041.855405347752,8826.603773584906,2473.3333895966857,2930.32,124.49234711337046
15,6766615.691124805,794188.4255029096,9515.520987654321,2529.7230110337136,7760.778947368421,1965.222535306354,2930.32,124.49234711337046
