difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,5269746.950947062,2240857.012233157,2923.56,112.87633833138831,2923.56,112.87633833138831,2943.72,127.02932973232953
2,6303020.014032947,1555532.945542317,6830.52,3930.2097008334367,2923.56,112.87633833138831,2945.64,125.24421205413536
3,6317848.342676234,1532882.8841049145,8327.453333333333,3964.710879354005,2923.56,112.87633833138831,6096.94,3173.509343285315
4,6324563.412237644,1526291.1223071506,9050.006622516556,4587.011023163397,2923.56,112.87633833138831,6220.38,3297.8481070191356
5,6330703.841148886,1519561.4188598797,9387.08,3893.246268364057,2923.6,112.88137172108006,6304.46,3381.0699711628254
6,6334637.652058212,1518421.0335526874,9198.288659793814,2985.7022553777038,2924.56,112.87633833138831,6422.66,3502.4649421673175
7,6335002.152785756,1514885.6869747683,9441.263157894737,3107.5189953976133,2924.56,112.87633833138831,6432.58,3516.2196073153177
8,6348940.542626914,1501727.577184156,10168.919444444444,2999.4364060500448,2924.56,112.87633833138831,6573.7,3655.463028057451
9,6365085.071328889,1484110.2788426515,9520.877551020409,2702.870730252631,2924.56,112.87633833138831,6756.42,3833.465284105811
10,6363350.732881982,1483778.9769319189,9563.58,2660.166354984304,2924.56,112.87633833138831,7434.9,4563.007710231966
11,6608474.772577591,1125240.4998503989,10282.046454767726,2858.066736602888,2924.56,112.87633833138831,6768.45,3850.030261917011
12,6591829.669307977,1160385.9349535159,10311.426108374384,2892.6560153121573,2924.56,112.87633833138831,9166.609561752988,3132.4093702688683
13,6529093.771275196,1262089.341478677,9650.970873786408,2669.922059630655,3019.725490196078,688.7425085888448,38948.72167754439,16429.941147236346
