difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1254039.714185884,1268769.3484598214,575064.8351528384,840962.9103773789,17888.34502446982,9269.537019856687,14617.716923076923,4893.313943498427,12070.99076923077,4023.544239021876
2,1573322.7547254725,1105345.0499319527,597946.4511278196,873238.9897112849,18344.345977490622,7693.090612826795,16228.263383297644,4027.5187809982926,12019.466153846153,3997.7767430338513
3,1555399.9935750344,1103342.6776421906,582282.9369565217,850791.4531231747,17445.078984091542,6344.406024186511,16578.928891098956,3590.941860873668,12053.036923076923,4041.575214486435
4,1562621.4488479262,1112339.147559048,581064.15,850449.9913294787,23586.77455944906,7014.106915303189,18676.476317799847,3735.3720932743404,12049.815384615385,4074.617553370432
5,1550299.4572727273,1095715.3004978262,622683.9904458598,904749.7582340305,23815.19521976259,6659.259832976155,18297.068832422,3486.934011275934,12109.75076923077,4100.7613873862865
6,1556666.2149703333,1104024.184628685,562344.254385965,824367.6759264474,17643.124329528262,4743.987987498536,16348.0058685446,2674.6133118698294,12098.135384615385,4102.036876897131
7,1559598.472643678,1108210.945684615,570404.7085152839,833946.2734422759,17363.11957838624,4469.911407338571,16204.261066666666,2538.9365181539533,12131.333846153846,4142.68487420386
8,1563547.2257769653,1108654.656714661,567848.5197368421,828584.1467611487,17901.038279059736,4290.09296093197,16190.294337740084,2464.4002364914527,12090.095531587058,4117.631718506974
9,1560728.6399270738,1105985.2148780713,613235.37886873,893766.7180505056,24770.28354530218,5434.576090753399,18544.85784658691,3050.6338315586745,12128.235384615384,4161.981771899569
10,1548472.4866091693,1088954.9567786446,606507.350161117,881643.4937772895,25928.97501414294,5339.2799709371675,19104.049843540455,3017.249612809167,12157.523076923077,4166.126777213072
11,1578551.601171699,1110840.1214120004,578943.3656147987,844217.9937594521,19535.297708540893,4724.3052760339615,16353.12693565976,2348.497142734809,12188.241538461538,4230.081138249758
12,1582714.0052493438,1084135.6236709731,572334.575327511,835341.501339256,18360.177005206035,4005.688914213841,17393.731192067255,2777.1339256987653,12149.70524691358,4234.954542419049
13,1581179.110287707,1078248.974174224,577192.7265795207,842470.1919253807,20072.76177964617,4755.544895161234,16739.36981051735,2515.4168866909317,12149.264615384616,4228.0550462103165
14,1613253.6696684405,1058641.7742936688,616524.4813631523,894675.6714759207,25465.491371872304,4953.057673070778,19177.99726142827,2872.2292981889022,12194.016949152543,4253.34419205292
15,1669546.8099665304,1029856.3750840732,600540.4125799574,878386.7804286439,18250.47424984954,3944.001565424208,16288.324968367777,2272.4120021636154,12042.290372670808,4154.025494788581
16,1815104.3025885902,865335.8009716001,617027.5542676501,897634.1109762313,25125.4664277792,5594.963414657103,nan,nan,29583.49705554671,6422.98625607247
17,2007540.054330457,584306.7002342481,609298.1583949313,888113.7721795738,25837.37603411514,5158.99456201624,nan,nan,nan,nan
18,2032383.9960874978,539176.6684085736,606270.8516949152,885316.1732335879,nan,nan,nan,nan,nan,nan
19,2018646.5482193662,565037.8264355817,620120.1024287223,900647.1176073843,nan,nan,nan,nan,nan,nan
20,2048751.298432939,501800.141253575,609853.6578669483,890361.6618092235,nan,nan,nan,nan,nan,nan
21,2088883.1319713402,401755.846767054,596373.9457446808,869205.7105984733,nan,nan,nan,nan,nan,nan
22,2101623.6476015495,374482.61091461,588237.1812434142,863971.5262099287,nan,nan,nan,nan,nan,nan
23,1989355.4968343088,617298.8686607722,587750.0591966173,858157.1372790833,nan,nan,nan,nan,nan,nan
