difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1472554.6075525812,684613.023019089,639632.6853707415,737404.3915036053,12362.868,6364.1000297727805,10518.87,4013.3918498240505,6127.348,1639.5878690749303
2,1397002.7501665556,796118.769100769,641219.0658682635,736899.3075552301,13776.326359832636,5441.881028173194,11300.576363636364,3243.309650729481,6117.08,1641.296221511214
3,1388825.144727774,808784.95392958,639521.256,735453.2912327531,13215.075994318182,4306.455312283422,11248.99625,2683.6222236065064,6111.044,1636.523247443093
4,1434768.3607305936,742688.1069868548,637533.0240963856,735597.9034234404,13142.388648648648,3785.0750796166662,11188.195797516715,2379.245595376416,6150.908,1650.3994391574072
5,1388538.6900826446,810493.3945245853,635977.0180722892,734473.2186647161,13261.553297199638,3538.9997977612857,11845.853355426678,2406.703543123011,6127.932,1642.089644623557
6,1385237.272226051,807209.0041011365,632561.826,732229.1979004303,17932.77850287908,4445.459876407405,12041.843638948116,2247.8114144130723,6160.612,1663.153209976586
7,1400347.7585099551,780896.0297692862,635181.542,732858.9120148484,18606.103896103898,4587.630031447744,12047.786383510305,2117.9101245306597,6183.316,1671.3115884979047
8,1396416.8741677762,798007.5512856196,635167.126,732758.2689684706,18784.86092307692,4205.061429818037,12041.552451539339,2027.1258237582751,6187.416,1670.892461355205
9,1394745.175531915,794456.0405395431,627259.56,727914.8964731119,19348.736915367484,4159.720513753762,12048.53282051282,1921.908937964639,6219.87250996016,1698.194224369308
10,1396789.844072165,780066.1456356358,631544.874,729732.1324609752,13622.541455611838,3097.4158409144293,11072.51939126166,1780.7313386455035,6145.256,1651.7784666460275
11,1407127.1299363058,782197.6555331213,634457.358,731633.726472391,18261.341551104262,4129.5554172874645,12064.40369143398,1859.7056265317344,6175.92,1670.013991716872
12,1405743.5917602996,769956.3206927927,629028.7205588822,728569.7129301064,18546.513506815365,4245.987902272029,12008.504770558837,1836.5853038377188,6172.0876494023905,1667.3398046849516
13,1440563.9082073434,720976.4694182908,632482.406,730465.3022700985,16617.411837237978,4531.126702699134,11584.839310031775,1824.847974845272,6215.848,1685.9460802880246
14,1440751.792358804,734031.5729714019,634923.61,732737.0417488525,13438.603532875368,2848.609848424687,10946.756525652565,1691.1638966123398,6113.368,1637.9850955576721
15,1474796.1413296142,675128.3658370593,631861.0419161677,730653.1717754712,nan,nan,nan,nan,6112.368,1633.9676058981395
16,1542076.9365126677,547869.9629032491,635627.64,732942.8051631281,nan,nan,nan,nan,6111.628,1637.8752305040807
17,1574166.2982648802,473247.8101075787,631404.0578842316,729920.1514691717,nan,nan,nan,nan,nan,nan
18,1598670.9282862162,405244.18055439333,630610.9101796407,729269.6282573092,nan,nan,nan,nan,nan,nan
19,1610035.0303236335,377319.8720698311,630493.444,728654.1563529131,nan,nan,nan,nan,nan,nan
20,1610057.7250743043,374219.3817512149,626005.34,726121.724813895,nan,nan,nan,nan,nan,nan
