difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
2,1346800.7361419068,1344152.1318737469,844104.2430340557,1007849.7899420421,15107.164444444445,7832.13563246484,13884.983333333334,5951.957484956636,nan,nan
3,1709594.281855549,1045496.9833961088,849376.658423493,1014386.9433406392,18491.750950570342,8135.038731291264,17163.42,5710.531087014552,nan,nan
4,1745469.1831442465,1018511.9453510095,832959.7122861586,1000924.4356071313,19236.025408348458,7154.38573753445,17602.315,4576.184026896539,nan,nan
5,1732235.8247650636,1020106.6919523857,851879.9536321483,1020591.8606623341,18729.852340425532,6232.066964393552,18429.84047267356,4264.770836332441,nan,nan
6,1751293.6850683491,996109.2821619965,836326.9860031104,1005951.1064472533,18328.95031889896,5695.308102495684,17351.675675675677,3486.755183570335,nan,nan
7,1777651.9571150097,965957.6933709577,847794.7789799073,1013723.1650577101,18193.467889908257,5239.375274745702,17650.042046605875,3427.2390914435737,nan,nan
8,1786020.101851852,977645.2586513787,828706.8031007752,995084.7127473698,17897.936763645106,4907.809607005639,17143.773636363636,3171.5700191242477,nan,nan
9,1831962.339527027,918943.2738844515,851627.4915254237,1016180.6570037067,18299.020434227332,4898.3966275255,17371.572678050812,3183.2990177623174,nan,nan
10,1863493.67577548,854886.8871542682,843520.5023183926,1006039.7675317097,17793.24229665072,4364.225594147299,17099.607338017173,3016.631161902134,nan,nan
11,1878041.162342216,835914.1376661441,842516.2642967543,1009008.7051166241,17797.97957063712,4183.5511466088865,17223.04823269514,2954.680387291139,nan,nan
12,1870619.304716286,867884.746955139,824270.9720062208,990145.0935147261,19201.74556594647,4484.818609352831,17578.866087585957,3128.1550406214274,nan,nan
13,1914952.191356185,774084.9200430054,830973.4012441679,997573.2263859228,18046.55480503531,3998.8420810390458,16717.847408481335,2824.457146964618,nan,nan
14,1965693.6779816514,688741.9836368166,798156.6336477988,970121.4392304079,18493.728182487124,4021.8150714309436,nan,nan,nan,nan
15,1937208.2989468,743335.5887854658,831215.7076205288,997657.6782168953,18323.639595375724,3929.2824306215384,nan,nan,nan,nan
16,1940646.7306133478,757441.0315592742,828519.0046583851,987474.3467533592,19566.68203497615,4264.914953064981,nan,nan,nan,nan
17,1925017.9874249785,761532.8728629339,830633.0927357032,983285.0567053,nan,nan,nan,nan,nan,nan
18,1903031.9141414142,798337.2908767692,838149.2073732719,990568.4369984888,nan,nan,nan,nan,nan,nan
19,1970199.6519883173,686937.2366556047,843696.9754601227,998562.6519208577,nan,nan,nan,nan,nan,nan
20,1968131.915695682,692326.9996068603,811258.2267080746,964898.7041199759,nan,nan,nan,nan,nan,nan
21,2046256.418853713,508709.7804596894,824143.2616099071,977137.814679347,nan,nan,nan,nan,nan,nan
