difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225.0,225.0,225.0
2,404,404,397.0,397.0,397.0
3,562,562,562.0,562.0,530.0
4,719,719,712.0,712.0,695.0
5,869,869,844.0,844.0,820.0
6,1009,1009,969.0,969.0,926.0
7,1140,1140,1086.0,1086.0,1036.0
8,1250,1250,1196.0,1196.0,1107.0
9,1359,1359,1302.0,1302.0,1202.0
10,1461,1461,1404.0,1404.0,1319.0
11,1570,1570,1499.0,1499.0,1421.0
12,1665,1665,1593.0,1593.0,1515.0
13,1751,1751,1681.0,1681.0,1603.0
14,1833,1833,1752.0,1739.0,1673.0
15,1899,1899,1810.0,1789.0,1755.0
16,1964,1964,1860.0,1833.0,1815.0
17,2028,2028,1904.0,nan,1875.0
18,2078,2078,nan,nan,nan
19,2131,2131,nan,nan,nan
20,2181,2181,nan,nan,nan
21,2225,2225,nan,nan,nan
22,2177,2177,nan,nan,nan
23,2078,2078,nan,nan,nan
