difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217.0,217.0,217.0
2,404,404,404.0,404.0,404.0
3,546,546,537.0,537.0,537.0
4,681,681,670.0,670.0,670.0
5,821,821,797.0,797.0,740.0
6,954,954,922.0,922.0,865.0
7,1073,1073,1031.0,1031.0,992.0
8,1198,1198,1133.0,1133.0,1101.0
9,1316,1316,1221.0,1221.0,1203.0
10,1418,1418,1303.0,1303.0,1291.0
11,1512,1512,1374.0,1374.0,1373.0
12,1600,1600,1444.0,1444.0,1417.0
13,1672,1672,1488.0,1488.0,1488.0
14,1742,1742,1516.0,1516.0,1502.0
15,1812,1812,nan,nan,1530.0
16,1856,1856,nan,nan,1556.0
17,1896,1896,nan,nan,nan
18,1924,1924,nan,nan,nan
19,1924,1924,nan,nan,nan
20,1923,1923,nan,nan,nan
