difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
2,125,125,125.0,125.0,nan
3,342,342,342.0,342.0,nan
4,529,529,529.0,529.0,nan
5,671,671,662.0,662.0,nan
6,811,811,795.0,795.0,nan
7,942,942,920.0,920.0,nan
8,1071,1071,1038.0,1038.0,nan
9,1185,1185,1147.0,1147.0,nan
10,1291,1291,1253.0,1253.0,nan
11,1400,1400,1356.0,1348.0,nan
12,1509,1509,1451.0,1443.0,nan
13,1605,1605,1539.0,1531.0,nan
14,1700,1700,1610.0,1601.0,nan
15,1774,1774,1654.0,1645.0,nan
16,1843,1843,nan,nan,nan
17,1899,1899,nan,nan,nan
18,1955,1955,nan,nan,nan
19,2012,2012,nan,nan,nan
20,2028,2028,nan,nan,nan
21,2072,2072,nan,nan,nan
22,2072,2072,nan,nan,nan
