difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225
2,390,390,390,390,390
3,555,555,555,555,555
4,705,705,688,688,705
5,845,838,821,821,845
6,978,969,952,952,978
7,1109,1071,1062,1062,1109
8,1212,1146,1164,1164,1212
9,1297,1217,1246,1246,1297
10,1399,1277,1321,1321,1399
11,1474,1461.76,1391,1326.6,1335.08
12,1544,1544,1451,1363,1383
13,1604,1604,1495,nan,1427
14,1656,1656,nan,nan,nan
15,1706,1706,nan,nan,nan
16,1750,1750,nan,nan,nan
17,1736,1736,nan,nan,nan
