difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225.0
2,397,397,397,397,397.0
3,562,562,562,562,530.0
4,719,719,712,712,695.0
5,869,869,844,844,820.0
6,1009,1009,969,969,930.0
7,1119,1119,1086,1086,1001.0
8,1235,1235,1196,1196,1096.0
9,1336,1336,1291,1291,1213.0
10,1446,1446,1357,1357,1295.0
11,1541,1541,1413,1407,1355.0
12,1636,1636,1463,1451,1415.0
13,1702,1702,1507,1495,1459.0
14,1752,1752,1551,1495,nan
15,1796,1796,1551,1495,nan
16,1847,1847,1551,1495,nan
17,1897,1897,1551,1495,nan
18,1936,1936,1551,1495,nan
19,1856,1856,1551,1495,nan
