difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225.0
2,390,390,390,390,358.0
3,555,555,555,555,523.0
4,705,705,695,705,688.0
5,845,845,828,845,794.0
6,976,976,959,976,904.0
7,1082,1082,1077,1082,1044.0
8,1187,1187,1187,1176,1146.0
9,1293,1293,1281,1247,1240.0
10,1395,1395,1351,1311,1342.0
11,1489,1489,1415,1355,1384.0
12,1559,1559,1459,1397,1454.0
13,1623,1623,1501,1397,1498.0
14,1667,1667,1529,1397,1562.0
15,1709,1709,1529,1397,nan
16,1628,1628,1529,1397,nan
17,1616,1616,1529,1397,nan
18,1484,1484,1529,1397,nan
