difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225.0
2,390,390,390,390,330.0
3,555,555,555,555,495.0
4,705,705,660,705,660.0
5,810,810,765,810,765.0
6,915,915,855,885,840.0
7,990,990,930,960,900.0
8,1065,1065,1005,1020,975.0
9,1140,1140,1080,1080,1050.0
10,1200,1200,1140,1110,1050.0
11,1245,1245,1170,1125,1110.0
12,1275,1275,1156,1125,1140.0
13,1320,1320,1156,1125,1140.0
14,1320,1320,1156,1125,nan
15,1320,1320,1156,1125,nan
16,1320,1320,1156,1125,nan
17,1246,1246,1156,1125,nan
