difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,980,980,980.0,980.0,980.0
2,1890,1890,1890.0,1890.0,1890.0
3,2800,2800,2800.0,2800.0,2800.0
4,3500,3500,3500.0,3500.0,3500.0
5,4200,4200,4200.0,4200.0,4060.0
6,4900,4900,4900.0,4900.0,4060.0
7,5320,5320,5250.0,5250.0,4760.0
8,5670,5670,5600.0,5390.0,4760.0
9,5950,5950,5950.0,5460.0,5110.0
10,6160,6160,6020.0,5530.0,4630.0
11,6230,6230,6090.0,5530.0,4980.0
12,6290,6290,6090.0,5530.0,5050.0
13,6290,6290,6090.0,5530.0,5400.0
14,6290,6290,6080.0,4730.0,4600.0
15,6290,6290,nan,3850.0,4590.0
16,6290,6290,nan,nan,3600.0
17,6210,6210,nan,nan,3920.0
18,6000,6000,nan,nan,nan
19,5540,5540,nan,nan,nan
20,5170,5170,nan,nan,nan
21,4290,4290,nan,nan,nan
22,3400,3400,nan,nan,nan
23,2100,2100,nan,nan,nan
