difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,150,150,150.0,150.0,105.0
2,269,269,262.0,262.0,217.0
3,419,419,367.0,367.0,305.0
4,566,566,462.0,462.0,411.0
5,692,692,550.0,550.0,561.0
6,909,909,610.0,610.0,656.0
7,1015,1015,670.0,655.0,731.0
8,1167,1167,nan,nan,791.0
9,1273,1273,nan,nan,708.0
10,1368,1368,nan,nan,nan
11,1467,1467,nan,nan,nan
12,1573,1573,nan,nan,nan
13,1641,1641,nan,nan,nan
14,1747,1747,nan,nan,nan
15,1807,1807,nan,nan,nan
16,1882,1882,nan,nan,nan
17,1942,1942,nan,nan,nan
18,1986,1986,nan,nan,nan
19,1760,1760,nan,nan,nan
