difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225.0
2,404,404,397,397,397.0
3,562,562,562,562,530.0
4,719,719,712,712,695.0
5,869,869,844,844,820.0
6,1009,1009,969,969,926.0
7,1140,1140,1086,1086,1036.0
8,1250,1250,1196,1196,1107.0
9,1359,1359,1302,1302,1202.0
10,1461,1461,1404,1404,1319.0
11,1570,1570,1499,1499,1421.0
12,1665,1665,1593,1593,1515.0
13,1751,1751,1681,1681,1603.0
14,1833,1833,1752,1739,1673.0
15,1899,1899,1810,1789,1755.0
16,1964,1964,1860,1833,1815.0
17,2028,2028,1904,1833,1875.0
18,2078,2078,1904,1833,nan
19,2131,2131,1904,1833,nan
20,2181,2181,1904,1833,nan
21,2225,2225,1904,1833,nan
22,2177,2177,1904,1833,nan
23,2078,2078,1904,1833,nan
