difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan
3,35,35,35,35,nan
4,222,222,222,222,nan
5,387,387,387,387,nan
6,552,552,552,552,nan
7,710,710,706,706,nan
8,849,849,839,839,nan
9,982,982,971,964,nan
10,1107,1107,1096,1074,nan
11,1218,1218,1214,1176,nan
12,1332,1332,1332,1271,nan
13,1442,1442,1442,1316,nan
14,1537,1537,1537,nan,nan
15,1628,1628,1625,nan,nan
16,1723,1723,1669,nan,nan
17,1792,1792,nan,nan,nan
18,1855,1855,nan,nan,nan
19,1909,1909,nan,nan,nan
20,1949,1949,nan,nan,nan
21,1955,1955,nan,nan,nan
