difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.2950552999973297,0,0.5240554884076118,0,0.16013333573937416,0.0,0.10346229560673237,0.0,0.07780154421925545,0.0
2,0.29433854669332504,0,0.5352614875882864,0,0.2641731034964323,0.0,0.16569139994680882,0.0,0.07145599834620953,0.0
3,0.28583756275475025,0,0.5236482713371515,0,0.37541536800563335,0.0,0.22961760126054287,0.0,0.07242041639983654,0.0
4,0.28565456345677376,0,0.5209507793188095,0,0.46856321953237057,0.0,0.2897087689489126,0.0,0.07450788095593452,0.0
5,0.28694624453783035,0,0.5176038406789303,0,0.5990845710039139,0.0,0.35699548944830894,0.0,0.07312038354575634,0.0
6,0.2871484197676182,0,0.5215964876115322,0,0.6768871042877436,0.0,0.4095205273479223,0.0,0.06991302408277988,0.0
7,0.32291615568101406,0,0.5243122838437557,0,0.7491780556738377,0.0,0.4601566009223461,0.0,0.06846333667635918,0.0
8,0.2983802743256092,0,0.521557129919529,0,0.8322201501578093,0.0,0.5099620763212442,0.0,0.06821245327591896,0.0
9,0.33893044851720333,0,0.5157158300280571,0,0.9037503395229578,0.0,0.5465373490005732,0.0,0.06857108883559704,0.0
10,0.30166287161409855,0,0.5185774378478527,0,0.9393203146755695,0.0,0.568510677665472,0.0,0.06524413265287876,0.0
11,0.3751020524650812,0,0.5531573612242937,0,0.9585954286158085,0.0,0.5817826986312866,0.0,0.06028926186263561,0.0
12,0.33483366668224335,0,0.5709867980331182,0,0.9798752665519714,0.0,0.5992377121001482,0.0,0.060958605259656906,0.0
13,0.33272267132997513,0,0.5509355645626783,0,0.9856255538761616,0.0,0.5974691621959209,0.0,0.0604871641844511,0.0
14,0.41112631745636463,0,0.5541487354785204,0,0.9964678753167391,0.0,nan,nan,nan,nan
15,0.550614595413208,0,0.5507763512432575,0,nan,nan,nan,nan,nan,nan
16,0.5661505647003651,0,0.5495682507753372,0,nan,nan,nan,nan,nan,nan
17,0.45709750801324844,0,0.5895624998956919,0,nan,nan,nan,nan,nan,nan
18,0.3571110386401415,0,0.5118550453335047,0,nan,nan,nan,nan,nan,nan
19,0.6894959565252066,0,0.5595924947410822,0,nan,nan,nan,nan,nan,nan
