difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.29149543680250645,0,0.8835398443043232,0,0.1942092478275299,0.0,0.11132822185754776,0.0,0.10237680375576019,0.0
2,0.4508618153631687,0,0.882396986708045,0,0.35261072032153606,0.0,0.1999563556164503,0.0,0.09993805177509785,0.0
3,0.4725237488746643,0,0.8812082372605801,0,0.5368545036762953,0.0,0.29743168875575066,0.0,0.10079380683600903,0.0
4,0.580135989934206,0,0.883387241512537,0,0.724756333976984,0.0,0.399356035515666,0.0,0.10233389399945736,0.0
5,0.45240453630685806,0,0.8834034912288189,0,0.9247477874159813,0.0,0.5032668169587851,0.0,0.10297884792089462,0.0
6,0.4541569948196411,0,0.8798045814037323,0,1.1307271718978882,0.0,0.6095157917588949,0.0,0.10309376008808613,0.0
7,0.46437932550907135,0,0.8799788765609264,0,1.3020412642508745,0.0,0.7010924573987722,0.0,0.10235771536827087,0.0
8,0.46871099062263966,0,0.8845668714493513,0,1.4833795856684446,0.0,0.7950903121381998,0.0,0.10156112350523472,0.0
9,0.4680743869394064,0,0.8959254547953606,0,1.6156108416616917,0.0,0.8732113912701607,0.0,0.10113260708749294,0.0
10,0.5918592866510153,0,0.88664042763412,0,1.7296850550919771,0.0,0.919450867921114,0.0,0.10021419078111649,0.0
11,0.4738150034099817,0,0.8957677520811558,0,1.8159300908446312,0.0,0.9790495559573174,0.0,0.09991532750427723,0.0
12,0.5665089692920446,0,0.9136311709880829,0,1.908383458852768,0.0,1.0140581130981445,0.0,0.10097391344606876,0.0
13,0.7405272778123617,0,0.9169411268085241,0,1.9942825306206942,0.0,1.0533834025263786,0.0,0.10150176286697388,0.0
14,1.2024712450802326,0,0.9194658268243074,0,2.044396972283721,0.0,1.0640841834247112,0.0,0.10135634802281857,0.0
15,1.2832265179604292,0,0.9190510716289282,0,2.0710773896425962,0.0,1.0721561405807734,0.0,0.10051778703927994,0.0
16,1.650200080126524,0,0.9259886480867863,0,2.0969081092625856,0.0,1.0753824207931757,0.0,0.09911376424133778,0.0
17,1.786938652396202,0,0.935106199234724,0,2.089654501527548,0.0,nan,nan,0.10013427026569843,0.0
18,1.9160492569208145,0,0.9688697159290314,0,nan,nan,nan,nan,nan,nan
19,1.7809886429458857,0,0.9720422811806202,0,nan,nan,nan,nan,nan,nan
20,2.121621135622263,0,0.9669019915163517,0,nan,nan,nan,nan,nan,nan
21,1.9210509415715933,0,1.0215992014855146,0,nan,nan,nan,nan,nan,nan
22,1.9454407319426537,0,0.9971098117530346,0,nan,nan,nan,nan,nan,nan
23,1.6721395961940289,0,1.115253733471036,0,nan,nan,nan,nan,nan,nan
