difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.4174505900591612,0,0.38426669873297215,0,0.12327766232192516,0,0.06780186481773853,0,0.0632991474121809,0
2,0.3212644848972559,0,0.38677300326526165,0,0.23845172487199306,0,0.14930509962141514,0,0.06334180943667889,0
3,0.33631521835923195,0,0.3848431371152401,0,0.3611912000924349,0,0.2351466529071331,0,0.0639446210116148,0
4,0.3356234971433878,0,0.38614895194768906,0,0.5136368628591299,0,0.2961062900722027,0,0.06465639360249043,0
5,0.3224420938640833,0,0.3876609355211258,0,0.647481394931674,0,0.3565747905522585,0,0.06467701308429241,0
6,0.3304508700966835,0,0.3878113944083452,0,0.7827943414449692,0,0.40837227553129196,0,0.06396459974348545,0
7,0.35599186085164547,0,0.4286866392940283,0,0.8910554461181164,0,0.46430553309619427,0,0.06331377103924751,0
8,0.3652165364474058,0,0.39174450375139713,0,1.0104865953326225,0,0.5150939151644707,0,0.06326783075928688,0
9,0.3392980098724365,0,0.3869945053011179,0,1.1064933650195599,0,0.5422154478728771,0,0.06367972306907177,0
10,0.3306532334536314,0,0.38685319386422634,0,1.178407097235322,0,0.5585450604557991,0,0.061875663697719574,0
11,0.3829432185739279,0,0.3863633517175913,0,1.2664696481078863,0,0.5721001699566841,0,0.061685120686888695,0
12,0.6713592689484358,0,0.41300132498145103,0,1.3286105152219534,0,0.5880546905100346,0,0.061440177261829376,0
13,0.921319866552949,0,0.41701630130410194,0,1.324229072779417,0,0.5824387837201357,0,0.06212152726948261,0
14,0.6705582942813635,0,0.4166187345981598,0,1.3249287754297256,0,0.5950202345848083,0,0.2426981683820486,0
15,0.4146577324718237,0,0.4188664946705103,0,1.3191486466675997,0,0.586538003757596,0,10.001154752448201,0
16,0.4111969918012619,0,0.41574181988835335,0,1.3164903614670038,0,0.5831434559077024,0,10.001160303130746,0
17,0.9776323288679123,0,0.44161196425557137,0,1.3207100443542004,0,0.5890952963382006,0,10.001340625807643,0
18,0.888797041028738,0,0.4263628385961056,0,1.3273460045456886,0,0.589910602197051,0,10.001155423000455,0
19,0.48894177563488483,0,0.45357052981853485,0,1.3199105486273766,0,0.588724872097373,0,10.001174682751298,0
20,0.8437217976897955,0,0.4521721750497818,0,1.3198050428181887,0,0.582957174628973,0,10.001268303021789,0
