difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.7091401498764753,0,0.14423340000212193,0,0.13782565109431744,0.0,0.10633985511958599,0.0,0.06455458141863346,0.0
2,0.08970214426517487,0,0.11503841169178486,0,0.2691200878471136,0.0,0.18224584870040417,0.0,0.07387493923306465,0.0
3,0.08960818499326706,0,0.11424487642943859,0,0.4198445864021778,0.0,0.27608870156109333,0.0,0.08325885608792305,0.0
4,0.08927081525325775,0,0.11502113938331604,0,0.5502118244767189,0.0,0.38750904239714146,0.0,0.07355120405554771,0.0
5,0.08997710980474949,0,0.11368575505912304,0,0.6776681840419769,0.0,0.4709600545465946,0.0,0.06747804023325443,0.0
6,0.09232912957668304,0,0.11425989866256714,0,0.7564440332353115,0.0,0.5690951105207205,0.0,0.06181240826845169,0.0
7,0.10150874219834805,0,0.11538501642644405,0,0.7981107719242573,0.0,0.6198018193244934,0.0,0.04989401623606682,0.0
8,0.12712600454688072,0,0.11606249585747719,0,0.8336918689310551,0.0,0.6745377313345671,0.0,0.046227676793932915,0.0
9,0.09431629441678524,0,0.1199707742780447,0,0.8476810660213232,0.0,0.6951132733374834,0.0,0.042145635932683945,0.0
10,0.11972272954881191,0,0.11507542058825493,0,0.8486632406711578,0.0,0.719896212220192,0.0,0.04181605204939842,0.0
11,0.17671919614076614,0,0.1153536643832922,0,nan,nan,0.7442323789000511,0.0,2.4931933972984552,0.0
12,0.17244094423949718,0,0.11615283787250519,0,nan,nan,nan,nan,nan,nan
