difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.6768949298094958,0.015598041774271612,0.010731021175161004,0.0031975015940914984,0.010214571291580796,0.0021394308308324735,0.007982340157032013,0.00012067450686614097
2,1.0556932167708875,0.02187916371390923,0.016676753703504802,0.000316965159026162,0.02849554023705423,0.009792086775091365,0.011715338565409184,0.0003167646354249091
3,1.824755153534934,0.02396012904099594,0.03049927859567106,0.0020883622960101347,0.029755225228145717,0.001603402061241048,0.02315217988565564,0.009499716180585142
4,1.8429921677149832,0.01778378388416982,0.0462172154802829,0.0036510526122908956,0.04428791622631252,0.0002041754080140057,0.02232775236479938,0.004990421028489297
5,1.8421846360713243,0.02323624756253925,0.05795984560623765,0.0007434456043068416,0.05697753139771521,0.0011750435608077208,0.0246632041875273,0.00820630208450997
6,1.8971043561119587,0.018228724723632943,0.07288393579423427,0.0006685169553526825,0.0722188813239336,0.0019302261465621502,0.01710694981738925,0.00032887518685740944
7,2.151866149753332,0.01423945129449166,0.08531205805018544,0.0028519524473522777,0.08443627465516329,0.0011914422595329362,0.03299185921438039,0.0026834139024743877
8,2.156272147167474,0.018535538918952783,0.0946891001611948,0.0030670184837156456,0.09471443509683013,0.006479020878501774,0.03498250477947295,0.0012563691291131449
9,1.986177551522851,0.017209458257736454,0.10187821216881275,0.0026626395722630118,0.09925871537066996,0.0029235155765864906,0.027828938961029052,0.009232309746847635
10,2.0290506380051374,0.01548858526224482,0.10687007360160351,0.003328651237569513,0.1033770752698183,0.0004986484558336318,0.012852046275511383,0.00013862807304247047
11,2.0647512442898006,0.019331030407285506,0.10915325907059013,0.003834033562604814,0.10530827864073217,0.0005021681858349373,0.01351708386093378,0.0019022022653797691
12,2.189074825309217,0.01891111020480854,0.10992769313976168,0.0011320176811486355,0.10772068561986088,0.0021649608140323962,0.10324912339448929,0.0021405250528531016
13,4.0143571302201595,0.017134071308068557,0.11021529626101255,0.0022025654133083837,0.10788603595457971,0.0021778607884895738,0.5765578357782215,0.001950171616724487
14,3.0850756802316757,0.019103919602293178,0.11022644397802651,0.0023360637575484556,0.1077624829672277,0.002097391836479585,10.00108806733042,0.00019761325722485336
15,10.754582968084142,0.02084907781587231,0.11968660631217062,0.029213338206300638,0.17342874728143215,0.021345923480569323,10.00112717738375,0.00025225314198362974
