difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,5521678.953667954,2503767.946626368,5331.333333333333,2333.092082766273,6636.0,3683.573048006514,3433.6666666666665,176.06059562927
2,6826281.269900497,1723878.7202432367,6832.0,4376.527938903167,2864.0,8.0,2968.0,16.0
3,6856022.195244055,1690664.4982788241,8717.866666666667,3297.7477566767698,7877.818181818182,3138.862144732763,6711.428571428572,3471.951269682168
4,6852560.23433584,1706000.7815403934,9298.0,3831.1612291361953,7177.777777777777,3241.5052744742593,6417.166666666667,3843.57257856108
5,6848392.860552764,1715523.5272000101,9366.666666666666,3905.4882905827267,7262.222222222223,3209.258550575887,7656.666666666667,3545.945889322058
6,6846448.521739131,1706013.679942652,10114.5,3977.8734352247393,6990.4,3169.072321323352,8670.307692307691,3292.3882513209005
7,6897297.112692764,1636890.8648591642,9756.631578947368,3130.8317001242535,7536.666666666667,2862.8874595520874,8610.416666666666,3426.3909838549403
8,6953521.656587473,1576766.7425581485,9757.714285714286,2947.145214319395,7396.666666666667,2768.39610057827,9040.5,3331.5886658562067
9,6967996.194791666,1570564.7886844247,9734.714285714286,2923.175416270073,7657.0,2851.3606321448456,9592.5625,3270.349562737904
10,6988682.337325349,1523297.3460070512,9982.666666666666,2777.0813372357657,7666.333333333333,2875.980697031357,9453.533333333333,3424.252407808302
11,6922811.961847389,1563708.1432299041,12387.333333333334,3727.330023146498,13047.666666666666,6073.076281025253,9842.5625,3434.6382821436478
12,6986526.42228739,1532311.6377040613,12484.791666666666,3719.508522689835,12798.333333333334,6016.363947727494,9758.6,3581.3744129473935
13,7076509.050117463,1398472.5356521402,12363.666666666666,3717.188028682395,13140.333333333334,6116.278805306575,9319.416666666666,3835.3813478366574
14,7058191.757085021,1420948.026760025,12582.666666666666,3716.628657763665,13017.0,5832.006401459678,8772.5,4057.500551105597
15,7170497.746617466,1238966.7477013338,12404.666666666666,3702.8237247041457,12999.0,6052.858197879442,24942.368181818183,7701.367342899287
