difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,3776878.635950976,2243204.9279987193,2924.56,112.87633833138831,2924.56,112.87633833138831,2930.32,124.49234711337046
2,5146624.966823471,2306423.2353990315,7187.36,4288.758723015603,6805.151515151515,3085.468211428882,2930.32,124.49234711337046
3,5990917.52027544,1873933.1342854435,8223.333333333334,5110.840203894423,7088.2307692307695,4064.1392769851504,6863.353448275862,3529.45435431674
4,5999850.551089833,1861377.5238960937,8335.836477987421,3722.266758467558,7006.8,2947.7459389854766,6359.133333333333,3304.24975793606
5,6002521.847209976,1855549.7094835606,8684.213930348258,3380.438906267199,7327.810945273632,2607.397350631392,6646.614678899083,3444.4650418064894
6,6028875.003173441,1835068.034419831,10249.478087649402,3712.821351279634,8790.190476190477,2981.0827886954676,6434.5,3529.5813941856927
7,6138494.831096078,1740501.527084783,10540.923588039866,3447.954951002369,8774.693333333333,2729.5946749632103,7730.5302013422815,3433.6139667109533
8,6146314.529728021,1729561.3410429636,9397.851851851852,2692.400738744034,7844.870056497175,2061.0154514903934,7841.013333333333,3494.2853922519826
9,6078767.36752631,1790633.9076648012,9403.293785310734,2686.889467878392,7836.613636363636,2069.2097693735814,7380.879032258064,3685.178784849488
10,6095796.565266486,1781998.4827600638,10835.432506887053,3208.070413271729,9220.468571428572,2617.1278616061327,2930.32,124.49234711337046
11,6105198.887116428,1771396.5182603332,9494.268656716418,2549.1399776979574,7858.797720797721,2076.8734087827975,3073.470588235294,1029.7014198871666
12,6152630.13287657,1728434.735408164,9482.825,2541.4917509556153,7938.401002506265,2012.0940876826398,9594.84090909091,2756.565061372747
13,6513381.339844795,1287700.386864706,10899.693266832917,3062.131658367999,9274.995,2460.0350833888037,11170.143824908806,1493.0387856956063
14,6392607.958667709,1460153.7798328476,10910.72319201995,3064.4635779669147,8996.3875,2426.3720604604746,23872.5629905749,7776.879786768882
15,6762656.701830897,805540.1095594803,9545.626168224298,2474.6818271520897,8161.26981450253,1646.177187450539,23873.034495301607,7773.048048220762
