difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,5280069.291897091,2242880.538015918,4468.135135135135,2251.0972930071744,5995.72,3092.5403832154207,2928.36,124.54222462396324
2,6297207.596733117,1559104.2372733413,6973.852459016393,3662.607921682187,6443.992366412213,2823.008819017215,3485.222222222222,2024.164068473855
3,6303858.671838111,1559844.3199887748,8169.670967741936,3665.361733552095,6616.796178343949,2558.0781165746525,6462.410714285715,3195.561086667396
4,6304611.324613055,1561561.091033754,8753.0,4032.2493522486525,7079.666666666667,2973.1006178930998,6227.1287128712875,3296.6540147955056
5,6314130.588648962,1560771.3436345172,9323.078431372549,3668.4935222625454,7463.6138613861385,2648.9297077166507,6393.398058252427,3392.134241527775
6,6314220.192628709,1552946.7424439644,9082.551724137931,3027.402674896118,7113.712,2126.815787658757,6403.22,3504.770701241784
7,6314433.026423429,1552025.682750459,9216.521452145214,2830.4754998059702,7198.358803986711,1950.914268788841,6714.907407407408,3544.5225046173723
8,6329139.576011607,1541175.4017084849,10080.918309859155,2924.741588194528,7860.68438538206,2244.7590925060767,6654.274509803921,3680.1820611358607
9,6346519.889078763,1521241.6241829197,9423.801699716714,2662.9933378406085,7249.587096774194,1950.534182204832,6844.549019607844,3865.154078691913
10,6347943.048189073,1512022.127986695,9494.704714640198,2517.5326386601246,7260.295454545455,1836.3148927655043,8107.133333333333,3766.3778420674953
11,6598395.024165945,1143977.8842163635,10260.069651741294,2799.717295155423,7923.868945868946,2096.907670132726,7410.975206611571,3810.8861993478845
12,6581204.6166489925,1183028.808168167,10206.95012468828,2787.842245807003,8018.672086720867,2097.5513009496267,9236.992,3189.8247197781307
13,6517337.092935041,1281066.933490197,9667.475555555555,2422.9217412938756,7275.905,1757.0622828002136,24036.9354329753,7741.599042299289
14,6624225.13197433,1098376.4185341396,9521.281795511222,2522.942687199368,7250.0325,1711.5561362287847,23927.484801601746,7735.160878581283
15,6653597.1525435345,1050873.291078099,10258.950495049505,2781.7465080880934,7945.940149625935,1969.3799053024222,23931.132310118905,7718.050146560221
