difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1.1637509811359148,0.027670187332454806,0.00868849828839302,4.892377101953466e-05,0.007441317041714986,7.237056339031685e-05,0.00872745659823219,0.00025447732010221624
2,2.9835788469451168,0.019595669208727608,0.018767262653758127,0.00020283417381855944,0.014765331987291574,0.00019752753512202386,0.011747311955938736,0.000200882863598406
3,2.9810490196881196,0.015021845491981742,0.03810555084298054,0.007982675186783278,0.024101626904060442,7.318329866920048e-05,0.0329237951276203,0.0017585768371206692
4,2.971087228662024,0.019758776596417275,0.045981633787353836,0.0003359536932828396,0.03231939362982909,0.00015757840439093468,0.029242461857696373,0.0003030188646108942
5,2.9289380299548307,0.0177223958864131,0.058620133281995855,0.0002424721675402616,0.04285723390057683,0.0035617766212309417,0.03778488173459967,0.0005722829725938634
6,2.965474123135209,0.021388564475656513,0.07132523910452922,0.0006485510989665928,0.04494629831363758,0.00012843768577298814,0.05040242988616228,0.0005488376989934673
7,3.1217723032459617,0.08672590781908175,0.0860338454755644,0.0008554812481952771,0.050702765273551144,0.0003419330344989644,0.05263655539602041,0.000399412306482444
8,3.3595196823589504,0.013516388695786308,0.0934575196976463,0.00015862252046737346,0.05302983786289891,0.0005723899173347186,0.06137338870515426,0.00015904665611531394
9,3.5079044150188565,0.030603594729995593,0.10260572129239638,0.0013034141289974806,0.055321995789806046,0.0005177628637246892,0.06848009458432595,0.0008556131347192764
10,3.6444272495185337,0.01518062787740803,0.10852611794446905,0.0002709499784355568,0.05663354275748134,0.00013725628761597267,0.079899862408638,0.008619858150759474
11,3.618811182988187,0.019209593267363087,0.11067406740039587,0.0010864399826263904,0.0583692059541742,0.00041308806052836714,0.06776812439784408,0.0007991995328728778
12,3.7291156336044273,0.0184793398535831,0.11223675962537527,0.0013076209666295312,0.05797634366899729,0.0003307708438295878,0.07165556494146585,0.0009683807340717686
13,4.55630915472284,0.010517219364224008,0.11255072616040707,0.0014365576600494172,0.05796653606618444,0.0005692729791841262,0.05744482778633634,0.0006112426340760259
14,4.459601308529575,0.029049606988331353,0.11220615931476156,0.0017075214110888754,0.05734318525840839,0.00015706967386110764,0.03910806433608135,0.0005104538437010017
15,5.7956748036667705,0.04429072034477298,0.1117777197311322,0.0005014146780084844,0.057890366607656084,0.000117309746302589,10.001591460468868,0.0007958569416721491
