difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1.1343902399142582,0.0021273837697536944,0.021990649091700714,3.675879581295894e-05,0.019059812805304926,0.0003022485468472485,0.01055663808559378,0.00283921020890228
2,2.9736802469318113,0.03556804029928705,0.022575007751584053,0.006652041052828322,0.014559947109470764,2.1628277403218123e-05,0.011578551959246397,0.0003409476686404001
3,2.947977313461403,0.021776388695228473,0.06910421513020992,0.0063749672940370695,0.04596895817667246,0.0019202472125794446,0.025044014522184927,0.008225968076955411
4,2.9427410811185837,0.02263750256188102,0.04626182994494835,0.0004488373718193085,0.03226673292617003,6.767504508197464e-05,0.0288890078663826,0.0005614582145994904
5,2.942554614817103,0.015282669492875869,0.058461942709982395,0.000324703438548336,0.04023675915474693,0.00014746948967247564,0.03773268327737848,0.0003102722243861923
6,2.975667945264528,0.028878425237693434,0.0762223806232214,0.00872315186299345,0.04537498097245892,0.00031621574970267956,0.05511863141631087,0.007782048265135279
7,3.1036644778214395,0.04322516747733014,0.0908595691435039,0.00924074291422183,0.050984823144972324,0.0002015546578771108,0.05282546579837799,0.0010821031416190076
8,3.38029609201476,0.04450917951688958,0.09381485373402636,0.000544027948576101,0.052884867725272976,0.0004330670585892736,0.061352560141434274,0.0004562731498359692
9,3.5010400718698897,0.054901749674117116,0.1030398200576504,0.0023018047436030313,0.05459469075625142,0.00016199711858310415,0.07265815806264679,0.008369582812360471
10,3.6448891369315484,0.017962200232800627,0.10995791045327981,0.002839777351460113,0.056570497496674456,0.00039445039520769336,0.07084397443880637,0.0011986433253702452
11,3.622111553015808,0.02632001523549,0.11116600890333454,0.0005395242311962087,0.0576715514374276,0.0003926179364287781,0.073933611313502,0.01042843057095498
12,3.71915993001312,0.015426723112696734,0.11153967088709275,0.001137227260570513,0.05771705011526743,0.0003064637846312178,0.07169826561585069,0.0001814854289466377
13,4.567228642913203,0.020608263976920574,0.1120784633482496,0.0021279577026972244,0.057621260173618793,0.00031878939912893936,0.05621412924180428,0.00052588773258417
14,4.4353693425655365,0.010616184563106482,0.11169768233473103,0.0004227145567124555,0.06108430540189147,0.005761760276924158,0.04232256021350622,0.007248239281737342
15,5.741964078353097,0.01893725901206729,0.11074011540040374,0.00029954396006799455,0.0578018642651538,0.00046573638113649857,10.001751817918072,0.0008418338899301875
