difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1.0792837583832442,0.017898068884476648,0.015270142005756498,0.006753753395402848,0.022122319992631673,0.000412327191385415,0.008758190842345357,0.0001380585088978635
2,2.5373896183259785,0.018537116740191914,0.027780158622190358,0.010378283872868274,0.029430903121829034,0.009917476426473986,0.015172872189432383,0.0008775127904515719
3,2.634169936813414,0.025020103163467405,0.033549586655572054,0.006504631164297386,0.03468460920266807,0.008777643134527006,0.02435304238460958,0.007582962506980773
4,2.638781678341329,0.034556209018716755,0.04456427063792944,0.0026174415560677924,0.042937803035601976,0.00020871035993409446,0.022896971432492138,0.0017737656912264232
5,2.6807345879543574,0.035578543247607605,0.05895526608452201,0.0022243551197865634,0.05772224307060242,0.0020666069895422965,0.028713195053860545,0.002837887626088467
6,2.682042013043538,0.03370849446798174,0.0761403443198651,0.002209360577661483,0.07119117949157953,0.0007597072442781542,0.0283479848690331,0.00021024303272554147
7,2.708215162232518,0.024978113274294896,0.08795773919671773,0.0018896010406890245,0.0793616497144103,0.0028867079098796053,0.025214167684316634,0.006689445477838971
8,2.7436982522532345,0.02195133319870591,0.09852040922269226,0.004814103549185732,0.08555061233229935,0.0012897175415520212,0.0233267040271312,0.0027765864015988568
9,2.837730398559943,0.0217885661767714,0.10371617780998349,0.0018060330654306738,0.09113625897094607,0.0010470054467732798,0.024396519176661968,0.0027907850181119556
10,2.8702239993680267,0.024147593589212302,0.1103777587786317,0.005156006088832202,0.09798288022167981,0.0023699791850071454,0.03326338048093021,0.0031236730266561694
11,5.139142044307664,0.02719156023851781,0.11175016295164823,0.0036318901092932906,0.10220921283587814,0.002138172777602532,0.02378749497234821,0.007965311622954682
12,4.812374521875754,0.025839419379478184,0.11382300960831344,0.002719701158421462,0.10646601128391922,0.0014738245293155724,0.06721399855799973,0.0008377161509667436
13,4.074117654999718,0.025478879102912418,0.12338499791920185,0.0016004485004388047,0.10830451168119908,0.002373213490882031,10.001333520850167,0.0005152743749461095
14,5.593610413176939,0.01915921879773991,0.1131625437643379,0.0026767231097369164,0.10796735557727516,0.0014374872264695427,10.001420690529049,0.0005766306787231433
15,6.133370740534738,0.025759212284958612,0.11372591856867074,0.004294234934703111,0.10828481228090822,0.004091739122269089,10.001406431347132,0.0004935782802444542
